sentence_id,model,expansion_ratio,avg_word_length,subword_fragmentation,unknown_token_rate
0,IndicTrans2,3.7142857142857144,5.25,6.5,0.0
0,NLLB-200,1.125,4.5,2.25,0.0
0,mT5-Base,0.5555555555555556,6.0,1.25,0.0
1,IndicTrans2,5.166666666666667,9.0,10.333333333333334,0.0
1,NLLB-200,1.75,8.5,3.5,0.0
1,mT5-Base,0.7142857142857143,9.0,1.6666666666666667,0.0
2,IndicTrans2,6.6,9.666666666666666,11.0,0.0
2,NLLB-200,1.4285714285714286,10.333333333333334,3.3333333333333335,0.0
2,mT5-Base,0.6666666666666666,9.0,2.0,0.0
3,IndicTrans2,6.0,8.4,9.6,0.0
3,NLLB-200,1.3636363636363635,7.0,3.0,0.0
3,mT5-Base,0.45454545454545453,9.0,1.6666666666666667,0.0
4,IndicTrans2,3.857142857142857,5.75,6.75,0.0
4,NLLB-200,1.25,6.75,2.5,0.0
4,mT5-Base,0.7142857142857143,6.0,1.6666666666666667,0.0
5,IndicTrans2,6.090909090909091,10.0,11.166666666666666,0.0
5,NLLB-200,1.5833333333333333,10.0,2.7142857142857144,0.0
5,mT5-Base,0.5,6.25,1.5,0.0
6,IndicTrans2,4.2,9.25,10.5,0.0
6,NLLB-200,1.2727272727272727,7.333333333333333,2.3333333333333335,0.0
6,mT5-Base,0.45454545454545453,6.0,1.25,0.0
7,IndicTrans2,3.8181818181818183,9.25,10.5,0.0
7,NLLB-200,1.1538461538461537,9.0,3.0,0.0
7,mT5-Base,0.35714285714285715,6.0,1.25,0.0
8,IndicTrans2,4.666666666666667,5.875,7.0,0.0
8,NLLB-200,1.0625,8.0,3.4,0.0
8,mT5-Base,0.35714285714285715,7.333333333333333,1.6666666666666667,0.0
9,IndicTrans2,6.909090909090909,9.714285714285714,10.857142857142858,0.0
9,NLLB-200,1.7857142857142858,11.333333333333334,4.166666666666667,0.0
9,mT5-Base,0.3125,6.0,1.25,0.0
10,IndicTrans2,5.0,7.8,9.0,0.0
10,NLLB-200,1.2,7.166666666666667,2.0,0.0
10,mT5-Base,0.4166666666666667,6.0,1.25,0.0
11,IndicTrans2,4.5,6.0,7.2,0.0
11,NLLB-200,1.0,6.0,1.8,0.0
11,mT5-Base,0.5555555555555556,6.0,1.25,0.0
12,IndicTrans2,3.875,6.5,7.75,0.0
12,NLLB-200,1.1111111111111112,7.25,2.5,0.0
12,mT5-Base,0.625,6.0,1.6666666666666667,0.0
13,IndicTrans2,6.0,8.4,9.6,0.0
13,NLLB-200,1.5454545454545454,8.6,3.4,0.0
13,mT5-Base,0.6363636363636364,6.4,1.4,0.0
14,IndicTrans2,6.1,11.0,12.2,0.0
14,NLLB-200,1.5454545454545454,9.333333333333334,2.8333333333333335,0.0
14,mT5-Base,0.45454545454545453,6.0,1.25,0.0
