english_source,tamil_reference,indictrans2_prediction
This is a test sentence.,இது ஒரு சோதனை வாக்கியம்.,இது ஒரு சோதனை வாக்கியம்.
Machine learning is fascinating.,இயந்திர கற்றல் கவர்ச்சிகரமானது.,இயந்திர கற்றல் சுவாரஸ்யமானது.
I love programming.,எனக்கு நிரலாக்கம் பிடிக்கும்.,எனக்கு புரோகிராமிங் பிடிக்கும்.
Artificial intelligence is transforming the world.,செயற்கை நுண்ணறிவு உலகத்தை மாற்றிக் கொண்டிருக்கிறது.,செயற்கை நுண்ணறிவு உலகை மாற்றியமைத்து வருகிறது.
The weather is beautiful today.,இன்று வானிலை அழகாக இருக்கிறது.,இன்று வானிலை அழகாக உள்ளது.
Please let me know if you need any help.,உங்களுக்கு ஏதாவது உதவி தேவைப்பட்டால் தயவுசெய்து எனக்குத் தெரியப்படுத்துங்கள்.,உங்களுக்கு ஏதேனும் உதவி தேவைப்பட்டால் எனக்கு தெரியப்படுத்துங்கள்.
He is reading a book in the library.,அவர் நூலகத்தில் ஒரு புத்தகம் படித்துக் கொண்டிருக்கிறார்.,நூலகத்தில் ஒரு புத்தகத்தைப் படிக்கிறார்.
We are going to the market to buy vegetables.,நாங்கள் காய்கறிகள் வாங்க சந்தைக்குச் செல்கிறோம்.,காய்கறிகள் வாங்க சந்தைக்குச் செல்கிறோம்.
The quick brown fox jumps over the lazy dog.,வேகமான பழுப்பு நரி சோம்பேறி நாயின் மீது குதிக்கிறது.,வேகமாக பழுப்பு நிற நரி சோம்பேறி நாய் மீது குதிக்கிறது.
Data structures and algorithms are essential for software engineers.,மென்பொருள் பொறியாளர்களுக்கு தரவு கட்டமைப்புகள் மற்றும் அல்காரிதம்கள் அத்தியாவசியமானவை.,மென்பொருள் பொறியாளர்களுக்கு தரவு கட்டமைப்புகள் மற்றும் வழிமுறைகள் அவசியம்.
India is a country with diverse cultures.,இந்தியா பல்வேறு கலாச்சாரங்களைக் கொண்ட ஒரு நாடாகும்.,இந்தியா பல்வேறு கலாச்சாரங்களைக் கொண்ட நாடு.
I will call you tomorrow morning.,நான் நாளை காலை உங்களை அழைக்கிறேன்.,நான் நாளை காலை உங்களை அழைக்கிறேன்.
Thank you for your prompt response.,உங்கள் விரைவான பதிலுக்கு நன்றி.,உங்கள் உடனடி பதிலுக்கு நன்றி.
She enjoys listening to classical music.,அவள் பாரம்பரிய இசை கேட்பதை ரசிக்கிறாள்.,அவர் பாரம்பரிய இசையைக் கேட்பதை விரும்புகிறார்.
The project must be completed by next Friday.,இந்த திட்டம் அடுத்த வெள்ளிக்கிழமைக்குள் முடிக்கப்பட வேண்டும்.,இத்திட்டம் அடுத்த வெள்ளிக்கிழமைக்குள் முடிக்கப்பட வேண்டும்.
