english_source,en_chars_per_tok,indictrans2_prediction,ta_chars_per_tok
This is a test sentence.,2.857142857142857,இது ஒரு சோதனை வாக்கியம்.,0.8076923076923077
Machine learning is fascinating.,4.833333333333333,இயந்திர கற்றல் சுவாரஸ்யமானது.,0.8709677419354839
I love programming.,3.4,எனக்கு புரோகிராமிங் பிடிக்கும்.,0.8787878787878788
Artificial intelligence is transforming the world.,5.625,செயற்கை நுண்ணறிவு உலகை மாற்றியமைத்து வருகிறது.,0.875
The weather is beautiful today.,3.857142857142857,இன்று வானிலை அழகாக உள்ளது.,0.8518518518518519
Please let me know if you need any help.,2.909090909090909,உங்களுக்கு ஏதேனும் உதவி தேவைப்பட்டால் எனக்கு தெரியப்படுத்துங்கள்.,0.8955223880597015
He is reading a book in the library.,2.9,நூலகத்தில் ஒரு புத்தகத்தைப் படிக்கிறார்.,0.8809523809523809
We are going to the market to buy vegetables.,3.3636363636363638,காய்கறிகள் வாங்க சந்தைக்குச் செல்கிறோம்.,0.8809523809523809
The quick brown fox jumps over the lazy dog.,3.0,வேகமாக பழுப்பு நிற நரி சோம்பேறி நாய் மீது குதிக்கிறது.,0.8392857142857143
Data structures and algorithms are essential for software engineers.,5.454545454545454,மென்பொருள் பொறியாளர்களுக்கு தரவு கட்டமைப்புகள் மற்றும் வழிமுறைகள் அவசியம்.,0.8947368421052632
India is a country with diverse cultures.,3.888888888888889,இந்தியா பல்வேறு கலாச்சாரங்களைக் கொண்ட நாடு.,0.8666666666666667
I will call you tomorrow morning.,3.5,நான் நாளை காலை உங்களை அழைக்கிறேன்.,0.8333333333333334
Thank you for your prompt response.,3.75,உங்கள் உடனடி பதிலுக்கு நன்றி.,0.8387096774193549
She enjoys listening to classical music.,4.375,அவர் பாரம்பரிய இசையைக் கேட்பதை விரும்புகிறார்.,0.875
The project must be completed by next Friday.,3.8,இத்திட்டம் அடுத்த வெள்ளிக்கிழமைக்குள் முடிக்கப்பட வேண்டும்.,0.9016393442622951
