tamil_sentence,total_tokens,token_breakdown
இது ஒரு சோதனை வாக்கியம்.,26,थेके | प्रोडक्ट्स | निकास | प्रशंसक | थेके | सफ़ | तीसुकोवालनि | प्रशंसक | थेके | ्ने | वेण्टु | निकास | गोपनीय | फत | थेके | रूक्ष | बालीवु | उतपादां | चॆय्तार् | उतपादां | सबक | माटेनुं | हाती | चॆय्तार् | जो | </s>
இயந்திர கற்றல் சுவாரஸ்யமானது.,31,थेके | प्रोडक्ट्स | माटेनुं | रिप्पु | चॆय्तार् | निकास | सबक | तीसुकोवालनि | थेके | उतपादां | बोब | चॆय्तार् | बोब | खिडारी | चॆय्तार् | थेके | ्ने | प्रशंसक | रूक्ष | बालीवु | तीसुकोवालनि | कुट्टियॆ | चॆय्तार् | माटेनुं | हाती | बालीवु | गोपनीय | निकास | प्रशंसक | जो | </s>
எனக்கு புரோகிராமிங் பிடிக்கும்.,33,थेके | ंकॆ | गोपनीय | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | थेके | श्य | प्रशंसक | तीसुकोवालनि | वेण्टु | उतपादां | सबक | तीसुकोवालनि | बालीवु | हाती | सबक | पाञ्ज | चॆय्तार् | थेके | श्य | सबक | ऱ्ऱिन् | सबक | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | हाती | चॆय्तार् | जो | </s>
செயற்கை நுண்ணறிவு உலகை மாற்றியமைத்து வருகிறது.,48,थेके | ्ने | ्याना | माटेनुं | बोब | चॆय्तार् | उतपादां | फत | थेके | रिप्पु | प्रशंसक | स्टोक | चॆय्तार् | स्टोक | बोब | सबक | रूक्ष | प्रशंसक | थेके | सेनाबाहिनी | खिडारी | उतपादां | फत | थेके | हाती | बालीवु | बोब | चॆय्तार् | बोब | सबक | माटेनुं | हाती | फत | निकास | चॆय्तार् | निकास | प्रशंसक | थेके | रूक्ष | तीसुकोवालनि | प्रशंसक | उतपादां | सबक | बोब | निकास | प्रशंसक | जो | </s>
இன்று வானிலை அழகாக உள்ளது.,27,थेके | प्रोडक्ट्स | गोपनीय | चॆय्तार् | बोब | प्रशंसक | थेके | रूक्ष | बालीवु | गोपनीय | सबक | खिडारी | फत | थेके | بھیج | ाटुकळै | उतपादां | बालीवु | उतपादां | थेके | बाल्क | चॆय्तार् | पञ्चम | निकास | प्रशंसक | जो | </s>
உங்களுக்கு ஏதேனும் உதவி தேவைப்பட்டால் எனக்கு தெரியப்படுத்துங்கள்.,67,थेके | सेनाबाहिनी | पाञ्ज | चॆय्तार् | उतपादां | पञ्चम | प्रशंसक | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | थेके | इसलामिक | निकास | बैध | गोपनीय | प्रशंसक | हाती | चॆय्तार् | थेके | सेनाबाहिनी | निकास | रूक्ष | सबक | थेके | निकास | बैध | रूक्ष | फत | श्य | चॆय्तार् | श्य | ऱ्ऱिन् | चॆय्तार् | ऱ्ऱिन् | बालीवु | खिडारी | चॆय्तार् | थेके | ंकॆ | गोपनीय | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | थेके | निकास | ्याना | तीसुकोवालनि | सबक | माटेनुं | श्य | चॆय्तार् | श्य | ऱ्ऱिन् | प्रशंसक | निकास | चॆय्तार् | निकास | प्रशंसक | पाञ्ज | चॆय्तार् | उतपादां | पञ्चम | चॆय्तार् | जो | </s>
நூலகத்தில் ஒரு புத்தகத்தைப் படிக்கிறார்.,42,थेके | रिप्पु | उच्चारण | खिडारी | उतपादां | निकास | चॆय्तार् | निकास | सबक | खिडारी | चॆय्तार् | थेके | सफ़ | तीसुकोवालनि | प्रशंसक | थेके | श्य | प्रशंसक | निकास | चॆय्तार् | निकास | उतपादां | निकास | चॆय्तार् | निकास | फत | श्य | चॆय्तार् | थेके | श्य | ऱ्ऱिन् | सबक | उतपादां | चॆय्तार् | उतपादां | सबक | बोब | बालीवु | तीसुकोवालनि | चॆय्तार् | जो | </s>
காய்கறிகள் வாங்க சந்தைக்குச் செல்கிறோம்.,42,थेके | उतपादां | बालीवु | माटेनुं | चॆय्तार् | उतपादां | बोब | सबक | उतपादां | पञ्चम | चॆय्तार् | थेके | रूक्ष | बालीवु | पाञ्ज | चॆय्तार् | उतपादां | थेके | ्ने | रिप्पु | चॆय्तार् | निकास | फत | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | ्ने | चॆय्तार् | थेके | ्ने | ्याना | खिडारी | चॆय्तार् | उतपादां | सबक | बोब | वेण्टु | हाती | चॆय्तार् | जो | </s>
வேகமாக பழுப்பு நிற நரி சோம்பேறி நாய் மீது குதிக்கிறது.,56,थेके | रूक्ष | बैध | उतपादां | हाती | बालीवु | उतपादां | थेके | श्य | ाटुकळै | प्रशंसक | श्य | चॆय्तार् | श्य | प्रशंसक | थेके | रिप्पु | सबक | बोब | थेके | रिप्पु | तीसुकोवालनि | सबक | थेके | ्ने | वेण्टु | हाती | चॆय्तार् | श्य | बैध | बोब | सबक | थेके | रिप्पु | बालीवु | माटेनुं | चॆय्तार् | थेके | हाती | प्पर् | निकास | प्रशंसक | थेके | उतपादां | प्रशंसक | निकास | सबक | उतपादां | चॆय्तार् | उतपादां | सबक | बोब | निकास | प्रशंसक | जो | </s>
மென்பொருள் பொறியாளர்களுக்கு தரவு கட்டமைப்புகள் மற்றும் வழிமுறைகள் அவசியம்.,76,थेके | हाती | ्याना | गोपनीय | चॆय्तार् | श्य | प्रेक्षकुल | तीसुकोवालनि | प्रशंसक | पञ्चम | चॆय्तार् | थेके | श्य | प्रेक्षकुल | बोब | सबक | माटेनुं | बालीवु | पञ्चम | तीसुकोवालनि | चॆय्तार् | उतपादां | पञ्चम | प्रशंसक | उतपादां | चॆय्तार् | उतपादां | प्रशंसक | थेके | निकास | तीसुकोवालनि | रूक्ष | प्रशंसक | थेके | उतपादां | ऱ्ऱिन् | चॆय्तार् | ऱ्ऱिन् | हाती | फत | श्य | चॆय्तार् | श्य | प्रशंसक | उतपादां | पञ्चम | चॆय्तार् | थेके | हाती | बोब | चॆय्तार् | बोब | प्रशंसक | हाती | चॆय्तार् | थेके | रूक्ष | ाटुकळै | सबक | हाती | प्रशंसक | बोब | फत | उतपादां | पञ्चम | चॆय्तार् | थेके | بھیج | रूक्ष | ्ने | सबक | माटेनुं | हाती | चॆय्तार् | जो | </s>
